state,basin,well_name_anp,well_name_operator,field,operator,contract_number,period,oil,condensate,petroleum,gas_associate,gas_non_associate,total_gas,volume_gas_royalties,water,installation_destination,installation_type,production_time
Bahia,Recôncavo,8DJM881HBAS         ,8DJM881HBAS         ,DOM JOÃO MAR,Petrobras,4.8E+14,2016/04,54.3966,0,54.3966,0.0692,0,0.0692,2.07547,330.7025,Estação Marapé (Dom João Mar),INSTALACAO EMB/DESEMB,720
Rio de Janeiro,Campos,7PPT16HPRJS         ,7PPT16HPRJS         ,PAPA-TERRA,Petrobras,4.8E+14,2016/04,2002.5679,0,2002.5679,12.0504,0,12.0504,321.46492,15.8876,PETROBRAS 61,UEP,447
Rio Grande do Norte,Potiguar,7SER40DRNS          ,7SER40DRNS          ,SERRA,Petrobras,4.8E+14,2016/04,128.0347,0,128.0347,0.0913,0,0.0913,2.73043,733.0868,Estação Coletora de Macau,INSTALACAO EMB/DESEMB,720
Rio Grande do Norte,Potiguar,7MA31DRNS           ,7MA31DRNS           ,SERRA,Petrobras,4.8E+14,2016/04,107.3274,0,107.3274,0.5092,0,0.5092,15.2195,426.7206,Estação Coletora de Macau,INSTALACAO EMB/DESEMB,720
Rio de Janeiro,Campos,7RO154DRJS          ,7RO154DRJS          ,RONCADOR,Petrobras,4.8E+14,2016/04,4728.5578,0,4728.5578,594.7589,0,594.7589,17834.10158,4.7274,PETROBRAS 62,UEP,695
Rio de Janeiro,Campos,3RJS 0159  RJ       ,3RJS 0159  RJ       ,TRILHA,Petrobras,4.8E+14,2016/04,0.8833,0,0.8833,0.018,0,0.018,0.54031,0.4016,PLATAFORMA DE PAMPO-1,UEP,2
Rio de Janeiro,Campos,3RJS 0159  RJ       ,3RJS 0159  RJ       ,BADEJO,Petrobras,4.8E+14,2016/04,36.8051,0,36.8051,0.7518,0,0.7518,22.51976,16.734,PLATAFORMA DE PAMPO-1,UEP,71
Rio de Janeiro,Campos,3RJS 0159  RJ       ,3RJS 0159  RJ       ,PAMPO,Petrobras,4.8E+14,2016/04,58.8881,0,58.8881,1.2029,0,1.2029,36.03168,26.7744,PLATAFORMA DE PAMPO-1,UEP,114
Rio de Janeiro,Campos,3RJS 0159  RJ       ,3RJS 0159  RJ       ,LINGUADO,Petrobras,4.8E+14,2016/04,271.4742,0,271.4742,5.5455,0,5.5455,0,123.4299,PLATAFORMA DE PAMPO-1,UEP,527
Rio de Janeiro,Campos,7PRG19HARJS         ,BMC7A09T2           ,PEREGRINO,Statoil Brasil O&G,4.861E+14,2016/04,228.7457,0,228.7457,0.3673,0,0.3673,10.98303,1167.2168,Peregrino A,UEP,70
Rio de Janeiro,Campos,7PRG28HRJS          ,BMC7B05Y1           ,PEREGRINO,Statoil Brasil O&G,4.861E+14,2016/04,37.6969,0,37.6969,0.0477,0,0.0477,1.4252,181.4254,Peregrino B,UEP,11
Rio de Janeiro,Campos,7RO149HARJS         ,7RO149HARJS         ,RONCADOR,Petrobras,4.8E+14,2016/04,5132.4837,0,5132.4837,45.029,0,45.029,1350.21449,131.596,PETROBRAS 62,UEP,683
Rio de Janeiro,Campos,7PPT17HRJS          ,7PPT17HRJS          ,PAPA-TERRA,Petrobras,4.8E+14,2016/04,2309.2058,0,2309.2058,12.8597,0,12.8597,343.05351,0,PETROBRAS 61,UEP,423
Rio de Janeiro,Santos,9LL20DRJS           ,9LL20DRJS           ,LULA,Petrobras,4.861E+14,2016/04,30788.5424,0,30788.5424,1574.6613,0,1574.6613,13334.85297,0,FPSO CIDADE DE ITAGUAÍ,UEP,465
Rio de Janeiro,Campos,7RO155DRJS          ,7RO155DRJS          ,RONCADOR,Petrobras,4.8E+14,2016/04,6166.5538,0,6166.5538,72.071,0,72.071,2161.07853,1003.8493,PETROBRAS 62,UEP,710
Sergipe,Sergipe,7PRM5SES            ,7PRM5SES            ,PIRANEMA,Petrobras,4.8E+14,2016/04,3257.3073,0,3257.3073,603.6609,0,603.6609,1954.259,0,PLATAFORMA DE PIRANEMA,UEP,719
Rio de Janeiro,Campos,9BJ27HRJS           ,BJ-AC1              ,BIJUPIRÁ,Shell Brasil,4.8E+14,2016/04,0,0,0,0,0,0,0,0,FPSO Fluminense,UEP,0
Rio de Janeiro,Campos,7BJ26HRJS           ,BJ-D                ,BIJUPIRÁ,Shell Brasil,4.8E+14,2016/04,4370.4401,0,4370.4401,54.1691,0,54.1691,1584.36345,2300.8412,FPSO Fluminense,UEP,692
Rio de Janeiro,Campos,7SA8HRJS            ,SA-K                ,SALEMA,Shell Brasil,4.8E+14,2016/04,1075.7542,0,1075.7542,25.6376,0,25.6376,735.99579,835.3174,FPSO Fluminense,UEP,286
Rio de Janeiro,Campos,7BJ25HRJS           ,BJ-C                ,BIJUPIRÁ,Shell Brasil,4.8E+14,2016/04,1336.1838,0,1336.1838,16.4763,0,16.4763,481.90539,3216.1142,FPSO Fluminense,UEP,709
Rio de Janeiro,Campos,7RO147DRJS          ,7RO147DRJS          ,RONCADOR,Petrobras,4.8E+14,2016/04,11664.4518,0,11664.4518,230.2752,0,230.2752,6904.89965,58.611,PETROBRAS 52,UEP,720
Rio de Janeiro,Campos,7RO148RJS           ,7RO148RJS           ,RONCADOR,Petrobras,4.8E+14,2016/04,3401.7811,0,3401.7811,88.0856,0,88.0856,2641.28594,160.2885,PETROBRAS 52,UEP,621
Rio de Janeiro,Santos,7LL51RJS            ,7LL51RJS            ,LULA,Petrobras,4.861E+14,2016/04,894.1747,0,894.1747,58.5993,0,58.5993,496.2418,0,FPSO CIDADE DE ITAGUAÍ,UEP,17
Rio de Janeiro,Campos,7PRG42HRJS          ,BMC7B27             ,PEREGRINO,Statoil Brasil O&G,4.861E+14,2016/04,990.1712,0,990.1712,1.9957,0,1.9957,59.66918,1289.7654,Peregrino B,UEP,183
Rio de Janeiro,Campos,7BR69DARJS          ,7BR69DARJS          ,CARATINGA,Petrobras,4.8E+14,2016/04,6310.6421,0,6310.6421,108.866,0,108.866,3258.84421,3398.0308,PETROBRAS 43,UEP,661
